Timestamp,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
12:02.7,-2.786599636,6.605006218,5.875077724,1.774274915,1.562748134,-0.131886601
12:02.7,-2.432351112,5.841665745,5.292053699,1.636926681,1.54983896,0.06215775
12:02.7,-1.832430243,4.788214207,4.455564022,1.618796051,1.215641439,-0.111672372
12:02.8,-1.544849873,4.195017815,2.89538312,1.2556656,1.563634276,-0.086176515
12:02.8,-3.722806454,2.72827673,1.416367412,1.214496374,2.13010186,-0.775768921
12:02.8,-4.434063435,1.915849209,0.841363132,0.770770192,2.143194079,-1.327284545
12:02.8,-4.470203876,1.364044905,0.89265579,1.165758789,3.195287585,-1.93332025
12:02.8,0.65944612,0.032143354,-1.590776682,2.180696964,5.176473558,-3.194017768
12:02.8,1.575942993,-2.486783504,-2.850992918,2.582522511,4.379765034,-3.165864512
12:02.8,0.830440342,-2.494340181,-4.667002678,2.169147789,4.152254999,-2.063156847
12:02.8,2.793849707,-4.093029976,-5.231629372,2.63757962,3.835145593,-1.193419009
12:02.8,2.07152462,-4.348168373,-5.952267647,2.401940912,2.731995285,-0.645580679
12:02.8,2.374295712,-3.82442975,-6.680570602,1.806897402,2.278427303,-0.189616114
12:02.8,3.010017633,-3.634308577,-7.016702652,1.555970397,1.542023063,0.01853019
12:02.8,3.323605061,-3.634706974,-6.804027081,1.535329193,0.909166038,0.362128556
12:02.9,3.163648605,-3.401979685,-6.480703354,1.7165308,0.993061185,0.47920984
12:02.9,2.584359646,-3.103536606,-6.333137512,2.011241794,1.482809842,0.495383978
12:02.9,2.383089066,-2.856346846,-6.489694118,1.89872545,1.227350265,0.409217119
12:02.9,3.179694653,-2.72541666,-6.46120882,1.894988537,1.413465098,0.217275858
12:02.9,4.065190792,-3.182155371,-6.428752422,1.579788566,1.046266057,0.463429362
12:02.9,4.48718214,-4.175899506,-5.93811655,1.282715142,0.693562746,0.376848817
12:02.9,3.938791037,-4.472527981,-4.918395519,0.897659183,-0.057426035,0.378783561
12:02.9,3.644837618,-4.42017889,-3.371766329,0.594145417,-1.442784965,0.947613113
12:02.9,3.267162085,-3.574948788,-0.616491437,0.641019404,-2.968297005,1.798974395
12:02.9,1.329346657,1.140099525,2.485938311,0.699369133,-3.48819536,2.97266382
12:02.9,-1.93246448,4.249474049,4.555620193,0.772689223,-2.858207047,2.764367193
12:02.9,-1.375969052,5.031060696,6.004340172,1.036072969,-1.756524771,1.854716755
12:03.0,-0.440586448,7.01120472,6.655164719,1.845217168,-0.481900245,0.845289759
12:03.0,-2.117537022,9.383888245,7.000545979,2.785203874,1.343947485,-0.050122172
12:03.0,-4.215081692,10.61131573,7.023933887,3.262236953,2.423304141,-0.259209216
12:03.0,-2.157099009,9.845273018,6.136349678,2.934366047,2.768744349,-0.039235473
12:03.0,-2.873862743,8.88484478,5.465007782,2.322360948,2.140400529,-0.385120511
12:03.0,-3.611794949,7.839366436,5.655516624,2.27380196,1.346102595,0.16472894
12:03.0,-3.237455606,7.40704298,5.292394161,2.385506332,1.306001663,0.95211041
12:03.0,-3.382463694,5.38287735,4.061994076,2.693714619,1.448335767,0.186818033
12:03.0,-3.989115715,3.270316839,2.6302526,2.255220532,2.007189274,-0.345579535
12:03.0,-5.37487936,2.185492992,2.246573687,1.504517198,1.834521055,-1.280458048
12:03.0,-5.083036423,1.163767457,1.747206569,0.90350306,2.34663707,-1.842121684
12:03.0,-2.517351151,0.628143907,1.129604459,0.42234695,3.804386139,-3.075262956
12:03.1,3.112494946,-1.169593096,-2.309015512,1.768172324,6.274967074,-5.223242931
12:03.1,0.679045498,-3.902889013,-4.52742815,2.147293508,4.848359942,-2.015720619
12:03.1,-1.010046005,-4.501752377,-5.906906605,2.852267087,4.189758062,-1.089815728
12:03.1,0.800841391,-4.342022419,-6.354523659,3.733374089,4.080976009,-0.746873274
12:03.1,2.25503993,-3.190820217,-7.139238358,2.88762936,2.983577788,0.016022027
12:03.1,3.590833902,-2.544107676,-7.94470787,2.180770822,2.427287936,0.478212476
12:03.1,4.186737537,-2.431450367,-8.327793121,1.693532407,1.634381473,0.147922546
12:03.1,4.28007555,-2.631147385,-8.467490196,1.749567598,1.271728873,0.298482299
12:03.1,5.117383957,-2.853760481,-8.592191696,1.951720238,1.746266723,0.61330241
12:03.1,5.479607582,-3.163211823,-8.325381279,2.061144054,1.81089358,0.397237659
12:03.1,6.506965637,-3.257235765,-7.566785812,1.809634626,1.376329549,0.395222098
12:03.1,8.203810692,-3.859040499,-6.355834484,1.456744552,1.326164365,0.535431951
12:03.2,7.294619083,-5.330414772,-5.235412598,1.294420481,1.298977375,0.28647995
12:03.2,2.726815939,-5.439948082,-4.514500141,1.047973871,0.953337729,0.252890706
12:03.2,0.895278633,-6.148846149,-4.080508232,0.98985076,0.328507841,0.930636287
12:03.2,1.692146301,-4.19689703,-3.36490345,1.243082553,-0.824658871,1.427444965
12:03.2,1.085916758,-2.170774698,-0.598088026,1.894081533,-2.542890191,2.533614099
12:03.2,-0.324899465,1.768705487,1.968815565,2.083046675,-3.541654229,3.087538213
12:03.2,-1.943160892,4.911167622,4.177382946,1.899058938,-3.321089149,3.007507294
12:03.2,-3.533540964,5.424674988,5.087833405,1.820570827,-1.918258369,2.01651378
12:03.2,-4.427611351,6.374447346,5.260651112,1.940675437,0.450696945,0.481712762
12:03.2,-5.064880371,7.585606098,5.737350464,2.307544291,1.657648653,-0.291322529
12:03.2,-4.162096977,7.905054092,6.060081005,2.300204456,2.3039608,-0.192897737
12:03.2,-4.348143101,7.787677765,6.424529552,1.976471543,2.130570412,-0.31130147
12:03.3,-4.725741386,7.957222939,6.758401394,1.872860432,1.865962878,-0.321827054
12:03.3,-5.726350307,7.135427952,6.927669048,2.148458928,1.831656367,0.157650948
12:03.3,-4.900935173,6.627379417,6.840397835,2.406875646,2.211230218,0.570445895
12:03.3,-4.591013908,5.822410583,5.678368092,2.695337415,2.027680397,0.435738981
12:03.3,-5.886268139,5.048149586,4.578318596,2.393147767,1.802825809,0.071172237
12:03.3,-2.795237303,4.033312798,4.640587807,2.298310757,2.348754883,-0.402159244
12:03.3,-2.854491711,3.019054174,3.025586367,1.532485008,2.145036221,-0.697770208
12:03.3,-5.46446085,1.560980201,2.195289612,1.512799859,2.597337782,-2.016346052
12:03.3,-4.65528059,1.432528496,1.850762367,1.523571551,3.738650203,-3.660453194
12:03.3,1.897249937,-4.328316212,-2.39708066,3.163387537,5.790881515,-5.850913323
12:03.3,-1.896923661,-6.062585354,-3.782006502,2.800107658,4.22581619,-2.895404473
12:03.3,-1.123735428,-5.618253231,-5.414087296,3.248779893,4.117948949,-1.822938874
12:03.4,1.832575679,-4.717093945,-5.907085419,2.777928382,2.994884729,-1.003020763
